id,name,business_type,type,address,location,pname,cityname,adname,tel,business_area,rating,cost,longitude,latitude
B0FFM3VU7C,奈雪的茶(赣州万象城慢闪街店),奶茶店,餐饮服务;冷饮店;冷饮店,章江新区新赣州大道8号华润中心万象城A门外广场场地1号铺,"114.924976,25.815924",江西省,赣州市,章贡区,13925240034,[],4.6,30.00,114.924976,25.815924
B0JGZZEG1E,CHAGEE霸王茶姬(赣州中联商城店),奶茶店,餐饮服务;冷饮店;冷饮店,文清路8号中联商场,"114.941075,25.852287",江西省,赣州市,章贡区,19870813708,红旗大道,4.8,20.00,114.941075,25.852287
B0JBDUTSIW,喜茶(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,万象城1层L120K,"114.926166,25.815271",江西省,赣州市,章贡区,0797-8128860,[],4.6,18.00,114.926166,25.815271
B0LB2LRJXS,古茗(赣州万象城四楼店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号华润中心B1区19号区幸福汇商铺,"114.926604,25.814523",江西省,赣州市,章贡区,13666823910,[],4.4,15.00,114.926604,25.814523
B0K6579MMJ,爷爷不泡茶NOYEYENOTEA(赣州经开万达店),奶茶店,餐饮服务;冷饮店;冷饮店,金岭大道18号经开万达广场4F4031A铺,"114.902135,25.842761",江西省,赣州市,章贡区,19067028712,[],4.2,15.00,114.902135,25.842761
B0FFIAPT2M,CoCo都可(中联商城店),奶茶店,餐饮服务;冷饮店;冷饮店|购物服务;购物相关场所;购物相关场所,文清路8号中联商城F栋一层大厅电梯底下店面,"114.941667,25.852191",江西省,赣州市,章贡区,18970797072,文清路,4.2,13.00,114.941667,25.852191
B0G144ED04,奈雪的茶(赣州九方购物中心店),奶茶店,餐饮服务;冷饮店;冷饮店,长征大道1号赣州中航城招商用房五层九方购物中心L117-L118号铺,"114.936801,25.835979",江西省,赣州市,章贡区,[],瑞金路,4.8,30.00,114.936801,25.835979
B0JB4SZSAF,CHAGEE霸王茶姬(赣州万象城金街店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号华润大厦B座5号幸福汇商铺,"114.926561,25.816650",江西省,赣州市,章贡区,19079811988,[],4.4,17.00,114.926561,25.81665
B0JAR52OH0,喜茶(赣州步步高新天地店),奶茶店,餐饮服务;冷饮店;冷饮店,红旗大道33号,"114.941039,25.848842",江西省,赣州市,章贡区,19323921451,文明大道,4.4,21.00,114.941039,25.848842
B0KRNCN70N,茉莉奶白(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,万象城商场1楼145号茉莉奶白,"114.926067,25.815850",江西省,赣州市,章贡区,13247050710,[],4.2,20.00,114.926067,25.81585
B0LA3SDQZG,煲珠公老红糖珍珠奶茶(中联商城步行街店),奶茶店,餐饮服务;冷饮店;冷饮店,文清路8号中联商城M栋12号店铺,"114.940865,25.852111",江西省,赣州市,章贡区,19067050446,红旗大道,4.2,12.00,114.940865,25.852111
B0GK5U9N5O,茶百道(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,华润万象城中心B2区幸福汇商业A幢3号幸福汇商铺,"114.924758,25.815489",江西省,赣州市,章贡区,18162192172,[],4.3,17.00,114.924758,25.815489
B0HU15BPVO,奈雪的茶(赣州宝能环球汇PRO店),奶茶店,餐饮服务;冷饮店;冷饮店,赣江源大道与瑞金路交汇处宝能环球汇1043-1044铺,"114.948161,25.819123",江西省,赣州市,章贡区,0797-8329321,[],4.2,16.00,114.948161,25.819123
